ID,Source spreadsheet row,Source agency,Display name,Agency type,State,City used,Latitude,Longitude,Location method,Confidence,Census place,Coordinate source,Included in map
204,212,Long Beach Police Department (CA),Long Beach Police Department,Police,California,Long Beach,33.780791,-118.16818,Agency-name city match,High,Long Beach city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
205,213,Los Angeles CLEAR (CA),Los Angeles CLEAR,Other,California,Los Angeles,34.019394,-118.410825,Manual headquarters/office city,Medium,Los Angeles city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
206,214,Los Angeles County District Attorneys Office (CA),Los Angeles County District Attorneys Office,Other,California,Los Angeles,34.019394,-118.410825,County seat / headquarters city,High,Los Angeles city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
207,215,Los Banos Police Department (CA),Los Banos Police Department,Police,California,Los Banos,37.063184,-120.840304,Agency-name city match,High,Los Banos city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
208,216,Madera County Sheriffs Department (CA),Madera County Sheriffs Department,Sheriff,California,Madera,36.965774,-120.08616,County seat / headquarters city,High,Madera city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
209,217,Manhattan Beach Police Department,Manhattan Beach Police Department,Police,California,Manhattan Beach,33.90087,-118.420715,Agency-name city match,High,Manhattan Beach city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
210,218,Manteca Police Department (CA),Manteca Police Department,Police,California,Manteca,37.790498,-121.230626,Agency-name city match,High,Manteca city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
211,219,Marana Police Department (AZ),Marana Police Department,Police,Arizona,Marana,32.465939,-111.135401,Agency-name city match,High,Marana town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
212,220,Maricopa Community College Police Dept (AZ),Maricopa Community College Police Dept,Police,Arizona,Tempe,33.388414,-111.931782,Manual headquarters/office city,Medium,Tempe city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
213,221,Maricopa County District Attorneys Office (AZ),Maricopa County District Attorneys Office,Other,Arizona,Phoenix,33.572154,-112.090132,County seat / headquarters city,High,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
214,222,Maricopa County Sheriffs Office,Maricopa County Sheriffs Office,Police,Arizona,Phoenix,33.572154,-112.090132,County seat / headquarters city,High,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
215,223,Marysville Police Department (CA),Marysville Police Department,Police,California,Marysville,39.151535,-121.583374,Agency-name city match,High,Marysville city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
216,224,Medford Police Department (OR),Medford Police Department,Police,Oregon,Medford,42.336006,-122.851762,Agency-name city match,High,Medford city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
217,225,Merced Police Department CA,Merced Police Department,Police,California,Merced,37.305721,-120.477907,Agency-name city match,High,Merced city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
218,226,Mesa Police Department,Mesa Police Department,Police,Arizona,Mesa,33.400626,-111.716487,Agency-name city match,High,Mesa city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
219,227,Mono County Sheriffs Office (CA),Mono County Sheriffs Office,Sheriff,California,Bridgeport,38.25521,-119.210424,County seat / headquarters city,High,Bridgeport CDP,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
220,228,Monterey County Sheriffs Office,Monterey County Sheriffs Office,Sheriff,California,Salinas,36.690217,-121.633793,County seat / headquarters city,High,Salinas city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
221,229,Multnomah County District Attorney (OR),Multnomah County District Attorney,State,Oregon,Portland,45.536951,-122.649971,County seat / headquarters city,High,Portland city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
222,230,Murrieta Police Department,Murrieta Police Department,Police,California,Murrieta,33.573214,-117.191007,Agency-name city match,High,Murrieta city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
223,231,Napa Police Department (CA),Napa Police Department,Police,California,Napa,38.297872,-122.300741,Agency-name city match,High,Napa city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
224,232,National City Police Department (CA),National City Police Department,Police,California,National City,32.665862,-117.097361,Agency-name city match,High,National City city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
225,233,Navajo County Sheriffs Department (AZ),Navajo County Sheriffs Department,Sheriff,Arizona,Holbrook,34.904624,-110.16721,County seat / headquarters city,High,Holbrook city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
226,234,Nevada DMV Compliance Enforcement (NV),Nevada DMV Compliance Enforcement,Other,Nevada,Carson City,39.15306,-119.747368,Manual headquarters/office city,Medium,Carson City,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
227,235,Nogales Police Department (AZ),Nogales Police Department,Police,Arizona,Nogales,31.361928,-110.93482,Agency-name city match,High,Nogales city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
228,236,North Las Vegas Police Department (NV),North Las Vegas Police Department,Police,Nevada,North Las Vegas,36.289865,-115.089181,Agency-name city match,High,North Las Vegas city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
229,237,Northern California Regional Intelligence Center (CA),Northern California Regional Intelligence Center,State,California,San Francisco,37.727239,-123.032229,Manual headquarters/office city,Medium,San Francisco city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
230,238,Oakley Police Department,Oakley Police Department,Police,California,Oakley,37.996149,-121.693624,Agency-name city match,High,Oakley city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
231,239,Ontario Police Department,Ontario Police Department,Police,California,Ontario,34.037648,-117.604433,Agency-name city match,High,Ontario city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
232,240,Orange County Sheriffs Department,Orange County Sheriffs Department,Sheriff,California,Santa Ana,33.736332,-117.8829,County seat / headquarters city,High,Santa Ana city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
233,241,Orange Police Department,Orange Police Department,Police,California,Orange,33.786971,-117.861265,Agency-name city match,High,Orange city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
234,242,Oro Valley Police Department,Oro Valley Police Department,Police,Arizona,Oro Valley,32.420713,-110.977,Agency-name city match,High,Oro Valley town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
235,243,Page Police Department (AZ),Page Police Department,Police,Arizona,Page,36.941815,-111.513283,Agency-name city match,High,Page city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
236,244,Palm Springs Police Department (CA),Palm Springs Police Department,Police,California,Palm Springs,33.803361,-116.53828,Agency-name city match,High,Palm Springs city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
237,245,Palos Verdes Estates Police Department,Palos Verdes Estates Police Department,Police,California,Palos Verdes Estates,33.774271,-118.425754,Agency-name city match,High,Palos Verdes Estates city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
238,246,Paradise Valley Police Department,Paradise Valley Police Department,Police,Arizona,Paradise Valley,33.552157,-111.96133,Agency-name city match,High,Paradise Valley town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
239,247,Peoria Police Department (AZ),Peoria Police Department,Police,Arizona,Peoria,33.786186,-112.308042,Agency-name city match,High,Peoria city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
240,248,Petaluma Police Department (CA),Petaluma Police Department,Police,California,Petaluma,38.242251,-122.628769,Agency-name city match,High,Petaluma city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
241,249,Pima County Sheriff,Pima County Sheriff,Sheriff,Arizona,Tucson,32.153036,-110.870773,County seat / headquarters city,High,Tucson city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
242,250,Pinal County Sheriffs Office (AZ),Pinal County Sheriffs Office,Sheriff,Arizona,Florence,33.069367,-111.413992,County seat / headquarters city,High,Florence town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
243,251,Pinole Police Department (CA),Pinole Police Department,Police,California,Pinole,38.001702,-122.318488,Agency-name city match,High,Pinole city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
244,252,Pittsburg Police Department CA,Pittsburg Police Department,Police,California,Pittsburg,38.016771,-121.896948,Agency-name city match,High,Pittsburg city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
245,253,Placentia Police Department,Placentia Police Department,Police,California,Placentia,33.881158,-117.854783,Agency-name city match,High,Placentia city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
246,254,Placer County Sheriffs Office (CA),Placer County Sheriffs Office,Sheriff,California,Auburn,38.895075,-121.076739,County seat / headquarters city,High,Auburn city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
247,255,Pleasant Hill Police Department,Pleasant Hill Police Department,Police,California,Pleasant Hill,37.954163,-122.075772,Agency-name city match,High,Pleasant Hill city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
248,256,Portola Valley,Portola Valley,Other,California,Portola Valley,37.365191,-122.232724,Manual headquarters/office city,Medium,Portola Valley town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
249,257,Prescott Police Department (AZ),Prescott Police Department,Police,Arizona,Prescott,34.592241,-112.446733,Agency-name city match,High,Prescott city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
250,258,Redding Police Department (CA),Redding Police Department,Police,California,Redding,40.570277,-122.366766,Agency-name city match,High,Redding city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
251,259,Riverside County District Attorneys Office (CA),Riverside County District Attorneys Office,State,California,Riverside,33.938143,-117.393168,County seat / headquarters city,High,Riverside city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
252,260,Riverside Police Department,Riverside Police Department,Police,California,Riverside,33.938143,-117.393168,Agency-name city match,High,Riverside city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
253,261,RMIN-RISS,RMIN-RISS,Other,Arizona,Phoenix,33.572154,-112.090132,Manual headquarters/office city,Medium,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
254,262,Rohnert Park Police Department CA,Rohnert Park Police Department,Police,California,Rohnert Park,38.347617,-122.700896,Agency-name city match,High,Rohnert Park city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
255,263,Sacramento County District Attorneys Office (CA),Sacramento County District Attorneys Office,Other,California,Sacramento,38.567694,-121.468161,County seat / headquarters city,High,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
256,264,Safford Police Department (AZ),Safford Police Department,Police,Arizona,Safford,32.833298,-109.697418,Agency-name city match,High,Safford city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
257,265,Sahuarita Police Department (AZ),Sahuarita Police Department,Police,Arizona,Sahuarita,31.932238,-110.965395,Agency-name city match,High,Sahuarita town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
258,266,Salem Police Department Oregon,Salem Police Department Oregon,Police,Oregon,Salem,44.9239,-123.023007,Manual headquarters/office city,Medium,Salem city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
259,267,Salinas Police Department CA,Salinas Police Department,Police,California,Salinas,36.690217,-121.633793,Agency-name city match,High,Salinas city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
260,268,San Bernardino County District Attorneys Office (CA),San Bernardino County District Attorneys Office,State,California,San Bernardino,34.14114,-117.294635,County seat / headquarters city,High,San Bernardino city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
261,269,San Bernardino Police Department,San Bernardino Police Department,Police,California,San Bernardino,34.14114,-117.294635,Agency-name city match,High,San Bernardino city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
262,270,San Carlos Apache Police Department (AZ),San Carlos Apache Police Department,Police,Arizona,San Carlos,33.344561,-110.477712,Manual headquarters/office city,Medium,San Carlos CDP,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
263,271,San Diego County Sheriff,San Diego County Sheriff,Sheriff,California,San Diego,32.814977,-117.135562,County seat / headquarters city,High,San Diego city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
264,272,San Diego Sector Border Patrol (CA),San Diego Sector Border Patrol,Federal,California,San Diego,32.814977,-117.135562,Manual headquarters/office city,Medium,San Diego city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
265,273,San Joaquin County District Attorney (CA),San Joaquin County District Attorney,State,California,Stockton,37.976553,-121.308598,County seat / headquarters city,High,Stockton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
266,274,San Joaquin County Sheriffs Department (CA),San Joaquin County Sheriffs Department,Sheriff,California,Stockton,37.976553,-121.308598,County seat / headquarters city,High,Stockton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
267,275,San Leandro Police Department (CA),San Leandro Police Department,Police,California,San Leandro,37.703368,-122.163036,Agency-name city match,High,San Leandro city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
268,276,San Luis Obispo County District Attorneys Office (CA),San Luis Obispo County District Attorneys Office,State,California,San Luis Obispo,35.266195,-120.668438,County seat / headquarters city,High,San Luis Obispo city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
269,277,San Luis Obispo Police Department (CA),San Luis Obispo Police Department,Police,California,San Luis Obispo,35.266195,-120.668438,Agency-name city match,High,San Luis Obispo city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
270,278,San Mateo Police Department (CA),San Mateo Police Department,Police,California,San Mateo,37.56031,-122.3106,Agency-name city match,High,San Mateo city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
271,279,Santa Clara County District Attorneys Office (CA),Santa Clara County District Attorneys Office,Other,California,San Jose,37.296011,-121.814552,County seat / headquarters city,High,San Jose city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
272,280,Scottsdale Police Department,Scottsdale Police Department,Police,Arizona,Scottsdale,33.684272,-111.861448,Agency-name city match,High,Scottsdale city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
273,281,Simi Valley Police Department,Simi Valley Police Department,Police,California,Simi Valley,34.266887,-118.748458,Agency-name city match,High,Simi Valley city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
274,282,Solano County Sheriffs Office (CA),Solano County Sheriffs Office,Sheriff,California,Fairfield,38.26206,-122.032386,County seat / headquarters city,High,Fairfield city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
275,283,Sonoma County Sheriffs Department (CA),Sonoma County Sheriffs Department,Sheriff,California,Santa Rosa,38.445824,-122.706181,County seat / headquarters city,High,Santa Rosa city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
276,284,South Gate Police Department (CA),South Gate Police Department,Police,California,South Gate,33.944159,-118.192761,Agency-name city match,High,South Gate city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
277,285,South Lake Tahoe Police Department (CA),South Lake Tahoe Police Department,Police,California,South Lake Tahoe,38.928218,-119.981,Agency-name city match,High,South Lake Tahoe city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
278,286,Sparks Police Department,Sparks Police Department,Police,Nevada,Sparks,39.574341,-119.715154,Agency-name city match,High,Sparks city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
279,287,Stanislaus County Auto Theft Task Force,Stanislaus County Auto Theft Task Force,Sheriff,California,Modesto,37.637533,-121.003049,Manual headquarters/office city,Medium,Modesto city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
280,288,Stanislaus County District Attorneys Office (CA),Stanislaus County District Attorneys Office,Other,California,Modesto,37.637533,-121.003049,County seat / headquarters city,High,Modesto city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
281,289,State Department - DSS,State Department - DSS,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
282,290,Stockton Police Department,Stockton Police Department,Police,California,Stockton,37.976553,-121.308598,Agency-name city match,High,Stockton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
283,291,Surprise Police Department (AZ),Surprise Police Department,Police,Arizona,Surprise,33.670801,-112.452546,Agency-name city match,High,Surprise city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
284,292,Sycuan Tribal Police Department (CA),Sycuan Tribal Police Department,Police,California,El Cajon,32.801673,-116.960468,Manual headquarters/office city,Medium,El Cajon city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
285,293,Tempe Police Department,Tempe Police Department,Police,Arizona,Tempe,33.388414,-111.931782,Agency-name city match,High,Tempe city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
286,294,Tigard Police Department,Tigard Police Department,Police,Oregon,Tigard,45.422921,-122.784388,Agency-name city match,High,Tigard city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
287,295,Tolleson Police Department (AZ),Tolleson Police Department,Police,Arizona,Tolleson,33.44837,-112.256012,Agency-name city match,High,Tolleson city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
288,296,Tracy Police Department CA,Tracy Police Department,Police,California,Tracy,37.727396,-121.452195,Agency-name city match,High,Tracy city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
289,297,Tucson Police Department (AZ),Tucson Police Department,Police,Arizona,Tucson,32.153036,-110.870773,Agency-name city match,High,Tucson city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
290,298,Tulare Police Department,Tulare Police Department,Police,California,Tulare,36.200246,-119.339775,Agency-name city match,High,Tulare city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
291,299,Turlock Police Department (CA),Turlock Police Department,Police,California,Turlock,37.505524,-120.859269,Agency-name city match,High,Turlock city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
292,300,Tustin Police Department,Tustin Police Department,Police,California,Tustin,33.73092,-117.810599,Agency-name city match,High,Tustin city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
293,301,United States Forest Service CA,United States Forest Service,Federal,California,Vallejo,38.106909,-122.262339,Manual headquarters/office city,Medium,Vallejo city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
294,302,United States Marshals Service,United States Marshals Service,Federal,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
295,303,United States Secret Service (USSS),United States Secret Service (USSS),Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
296,304,Upland Police Department (CA),Upland Police Department,Police,California,Upland,34.116073,-117.659922,Agency-name city match,High,Upland city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
297,305,US Border Patrol (NATL),US Border Patrol (NATL),Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
298,306,US Postal Inspection Service,US Postal Inspection Service,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
299,307,Vernon Police Department,Vernon Police Department,Police,California,Vernon,34.001123,-118.210869,Agency-name city match,High,Vernon city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
300,308,Washoe County District Attorney (NV),Washoe County District Attorney,Other,Nevada,Reno,39.549097,-119.849907,County seat / headquarters city,High,Reno city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
301,309,Washoe County Sheriffs Office,Washoe County Sheriffs Office,Sheriff,Nevada,Reno,39.549097,-119.849907,County seat / headquarters city,High,Reno city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
302,310,West Covina Police Department,West Covina Police Department,Police,California,West Covina,34.055941,-117.909937,Agency-name city match,High,West Covina city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
303,311,Whittier Police Department,Whittier Police Department,Police,California,Whittier,33.966827,-118.020122,Agency-name city match,High,Whittier city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
304,312,Wickenburg Police Department (AZ),Wickenburg Police Department,Police,Arizona,Wickenburg,33.985756,-112.76834,Agency-name city match,High,Wickenburg town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
305,313,Yavapai County Sheriffs Department (AZ),Yavapai County Sheriffs Department,Sheriff,Arizona,Prescott,34.592241,-112.446733,County seat / headquarters city,High,Prescott city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
306,314,Yavapai-Apache Police Department (AZ),Yavapai-Apache Police Department,Police,Arizona,Camp Verde,34.569405,-111.857014,Manual headquarters/office city,Medium,Camp Verde town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
307,315,Yuma County Sheriffs Office (AZ),Yuma County Sheriffs Office,Sheriff,Arizona,Yuma,32.516286,-114.521782,County seat / headquarters city,High,Yuma city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
308,316,Yuma Police Department (AZ),Yuma Police Department,Police,Arizona,Yuma,32.516286,-114.521782,Agency-name city match,High,Yuma city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
